Player Name,Team,Season,Routes Run,Receptions,Receiving Yards,Target Share,Touchdowns,YAC,ADoT,Catch %,Total EPA,Targets/Route Run,Expected YPRR,YPRR,Adjusted YPRR
17. Jameson Williams,,2024,125,16,365,19.6%,3,122,14.15,52.4%,8.3,0.17,1.3,1.95,1.95
18. George Pickens,,2024,145,26,363,29.5%,0,61,12.14,48.8%,6.7,0.28,1.19,1.89,2
19. Terry McLaurin,,2024,156,29,356,25.1%,4,58,13.69,67.5%,20.3,0.26,1.18,2.17,2.29
20. Allen Lazard,,2024,207,26,354,18.3%,5,81,10.56,60.6%,19.5,0.16,1.23,1.28,1.35
21. Brandon Aiyuk,,2024,174,23,351,23.7%,0,95,12.14,52.5%,15.6,0.23,1.31,1.83,1.82
22. Rashid Shaheed,,2024,152,20,349,23.3%,3,76,17.33,47.2%,-8.9,0.24,1.41,1.82,1.71
23. Diontae Johnson,,2024,176,29,340,26.6%,3,82,9.53,52.9%,2.3,0.29,1.26,1.82,1.86
24. Tyler Lockett,,2024,223,26,339,16.2%,1,68,8.91,55.6%,10.3,0.16,1.18,1.17,1.29
25. Deebo Samuel,,2024,125,20,335,16.8%,1,119,9.96,65.2%,9.1,0.18,1.25,2.25,2.3
26. D.J. Moore,,2024,206,31,314,25.7%,3,133,10.05,57.8%,3.8,0.22,1.18,1.35,1.47
27. Jaxon Smith-Njigba,,2024,250,34,310,20.3%,1,133,7.64,64%,12.9,0.2,1.16,1.23,1.37
28. Mike Evans,,2024,163,25,310,22.6%,5,70,10.19,51.3%,1.6,0.24,1.2,1.53,1.63
29. DeVonta Smith,,2024,94,24,303,21.1%,2,79,11.12,70.8%,7.2,0.26,1.31,2.33,2.32
30. Darius Slayton,,2024,183,24,301,19.4%,1,43,11.7,56.8%,13.4,0.2,1.21,1.5,1.59
31. Christian Kirk,,2024,162,24,296,20.5%,1,81,12.91,62.2%,10.3,0.23,1.15,1.57,1.72
32. Jalen Tolbert,,2024,205,24,290,14.8%,2,52,13.34,65.7%,14,0.17,1.24,1.36,1.42
33. Amon-Ra St. Brown,,2024,121,31,289,27.5%,3,79,7.78,77.8%,21.7,0.3,1.38,2.45,2.37
34. Rashee Rice,,2024,68,24,288,19.6%,2,113,5.15,77.3%,13.8,0.32,1.17,2.72,2.85
35. Tyreek Hill,,2024,115,23,286,24.3%,1,56,11.81,55.2%,-5.7,0.25,1.33,1.36,1.33
36. Tutu Atwell,,2024,113,17,281,14.8%,0,49,13.8,63%,16.8,0.24,1.21,2.49,2.58
37. Chris Olave,,2024,118,23,280,17.8%,1,79,10.48,72.4%,2.7,0.25,1.39,2.28,2.19
38. Wan'Dale Robinson,,2024,169,37,280,27.2%,2,142,4.57,66%,-5.1,0.28,1.16,1.4,1.54
39. Marvin Harrison,,2024,127,17,279,22.5%,4,40,14.18,43.2%,16.5,0.29,1.27,2.17,2.2
40. Courtland Sutton,,2024,174,21,277,24.8%,2,35,13.43,44.7%,3.2,0.22,1.2,1.37,1.47
